city[Chicago], year[1970], average temperature[0.11]
city[Los Angeles], year[1993], average temperature[0.05]
city[Los Angeles], year[1994], average temperature[0.16]
city[Los Angeles], year[1995], average temperature[0.05]
city[Los Angeles], year[1996], average temperature[-0.11]
city[Los Angeles], year[1997], average temperature[0.02]
city[Los Angeles], year[1998], average temperature[0.11]
city[Los Angeles], year[1999], average temperature[0.06]
city[Los Angeles], year[2000], average temperature[-0.17]
city[Los Angeles], year[2001], average temperature[-0.00]
city[Los Angeles], year[2002], average temperature[0.05]
city[Los Angeles], year[2003], average temperature[-0.09]
city[Los Angeles], year[2004], average temperature[-0.08]
city[Los Angeles], year[2005], average temperature[-0.08]
city[Los Angeles], year[2006], average temperature[-0.06]
city[Los Angeles], year[2007], average temperature[0.02]
city[Los Angeles], year[2008], average temperature[0.02]
city[Los Angeles], year[2009], average temperature[0.03]
city[Los Angeles], year[2010], average temperature[0.02]
city[Los Angeles], year[2011], average temperature[0.08]
city[Los Angeles], year[2012], average temperature[-0.13]
city[Los Angeles], year[2013], average temperature[-0.10]
city[Los Angeles], year[2014], average temperature[-0.01]
city[Los Angeles], year[2015], average temperature[0.07]
city[Los Angeles], year[2016], average temperature[0.02]
city[Los Angeles], year[2017], average temperature[0.04]
city[Los Angeles], year[2018], average temperature[0.08]
city[Los Angeles], year[2019], average temperature[0.09]
city[Los Angeles], year[2020], average temperature[13.50]
city[New York], year[1970], average temperature[-0.01]
city[New York], year[1971], average temperature[-0.07]
city[New York], year[1972], average temperature[-0.05]
city[New York], year[1973], average temperature[0.04]
city[New York], year[1974], average temperature[0.13]
city[New York], year[1975], average temperature[0.03]
city[New York], year[1976], average temperature[0.08]
city[New York], year[1977], average temperature[-0.08]
city[New York], year[1978], average temperature[0.03]
city[New York], year[1979], average temperature[-0.05]
city[New York], year[1980], average temperature[-0.07]
city[New York], year[1981], average temperature[-0.00]
city[New York], year[1982], average temperature[-0.04]
city[New York], year[1983], average temperature[-0.04]
city[New York], year[1984], average temperature[-0.09]
city[New York], year[1985], average temperature[-0.06]
city[New York], year[1986], average temperature[-0.08]
city[New York], year[1987], average temperature[0.11]
city[New York], year[1988], average temperature[0.01]
city[New York], year[1989], average temperature[-0.02]
city[New York], year[1990], average temperature[0.04]
city[New York], year[1991], average temperature[-0.05]
city[New York], year[1992], average temperature[-0.09]
city[New York], year[1993], average temperature[-0.05]
city[New York], year[1994], average temperature[0.00]
city[New York], year[1995], average temperature[0.04]
city[New York], year[1996], average temperature[0.04]
city[New York], year[1997], average temperature[-0.09]
city[New York], year[1998], average temperature[-0.07]
city[New York], year[1999], average temperature[0.09]
city[New York], year[2000], average temperature[0.02]
city[New York], year[2001], average temperature[-0.10]
city[New York], year[2002], average temperature[-0.02]
city[New York], year[2003], average temperature[0.08]
city[New York], year[2004], average temperature[-0.09]
city[New York], year[2005], average temperature[-0.04]
city[New York], year[2006], average temperature[-0.05]
city[New York], year[2007], average temperature[-0.12]
city[New York], year[2008], average temperature[-0.05]
city[New York], year[2009], average temperature[-0.01]
city[New York], year[2010], average temperature[0.09]
city[New York], year[2011], average temperature[-0.05]
city[New York], year[2012], average temperature[-0.14]
city[New York], year[2013], average temperature[-0.11]
city[New York], year[2014], average temperature[-0.07]
city[New York], year[2015], average temperature[-0.13]
city[New York], year[2016], average temperature[-0.09]
city[New York], year[2017], average temperature[-0.01]
city[New York], year[2018], average temperature[0.03]
city[New York], year[2019], average temperature[-0.07]
city[New York], year[2020], average temperature[-1.90]
city[Philadelphia], year[1970], average temperature[-0.02]
city[Philadelphia], year[1971], average temperature[-0.02]
city[Philadelphia], year[1972], average temperature[0.04]
city[Philadelphia], year[1973], average temperature[-0.05]
city[Philadelphia], year[1974], average temperature[-0.06]
city[Philadelphia], year[1975], average temperature[0.13]
city[Philadelphia], year[1976], average temperature[-0.11]
city[Philadelphia], year[1977], average temperature[-0.02]
city[Philadelphia], year[1978], average temperature[-0.06]
city[Philadelphia], year[1979], average temperature[0.06]
city[Philadelphia], year[1980], average temperature[-0.02]
city[Philadelphia], year[1981], average temperature[-0.15]
city[Philadelphia], year[1982], average temperature[-0.04]
city[Philadelphia], year[1983], average temperature[0.05]
city[Philadelphia], year[1984], average temperature[-0.00]
city[Philadelphia], year[1985], average temperature[0.05]
city[Philadelphia], year[1986], average temperature[0.12]
city[Philadelphia], year[1987], average temperature[-0.15]
city[Philadelphia], year[1988], average temperature[0.08]
city[Philadelphia], year[1989], average temperature[-0.05]
city[Philadelphia], year[1990], average temperature[0.02]
city[Philadelphia], year[1991], average temperature[-0.10]
city[Philadelphia], year[1992], average temperature[0.05]
city[Philadelphia], year[1993], average temperature[0.08]
city[Philadelphia], year[1994], average temperature[-0.14]
city[Philadelphia], year[1995], average temperature[0.03]
city[Philadelphia], year[1996], average temperature[-0.05]
city[Philadelphia], year[1997], average temperature[0.01]
city[Philadelphia], year[1998], average temperature[-0.11]
city[Philadelphia], year[1999], average temperature[-0.04]
city[Philadelphia], year[2000], average temperature[0.10]
city[Philadelphia], year[2001], average temperature[-0.03]
city[Philadelphia], year[2002], average temperature[0.06]
city[Philadelphia], year[2003], average temperature[0.08]
city[Philadelphia], year[2004], average temperature[-0.03]
city[Philadelphia], year[2005], average temperature[0.03]
city[Philadelphia], year[2006], average temperature[0.10]
city[Philadelphia], year[2007], average temperature[-0.05]
city[Philadelphia], year[2008], average temperature[-0.16]
city[Philadelphia], year[2009], average temperature[-0.07]
city[Philadelphia], year[2010], average temperature[-0.14]
city[Philadelphia], year[2011], average temperature[0.07]
city[Philadelphia], year[2012], average temperature[-0.04]
city[Philadelphia], year[2013], average temperature[-0.06]
city[Philadelphia], year[2014], average temperature[-0.03]
city[Philadelphia], year[2015], average temperature[-0.04]
city[Philadelphia], year[2016], average temperature[-0.08]
city[Philadelphia], year[2017], average temperature[-0.07]
city[Philadelphia], year[2018], average temperature[0.12]
city[Philadelphia], year[2019], average temperature[-0.08]
city[Philadelphia], year[2020], average temperature[3.71]
city[Phoenix], year[1970], average temperature[-0.02]
city[Phoenix], year[1971], average temperature[0.05]
city[Phoenix], year[1972], average temperature[0.00]
city[Phoenix], year[1973], average temperature[-0.04]
city[Phoenix], year[1974], average temperature[0.10]
city[Phoenix], year[1975], average temperature[-0.00]
city[Phoenix], year[1976], average temperature[0.03]
city[Phoenix], year[1977], average temperature[0.08]
city[Phoenix], year[1978], average temperature[0.03]
city[Phoenix], year[1979], average temperature[-0.03]
city[Phoenix], year[1980], average temperature[0.21]
city[Phoenix], year[1981], average temperature[-0.20]
city[Phoenix], year[1982], average temperature[-0.11]
city[Phoenix], year[1983], average temperature[0.08]
city[Phoenix], year[1984], average temperature[-0.02]
city[Phoenix], year[1985], average temperature[0.03]
city[Phoenix], year[1986], average temperature[0.01]
city[Phoenix], year[1987], average temperature[0.06]
city[Phoenix], year[1988], average temperature[0.04]
city[Phoenix], year[1989], average temperature[0.06]
city[Phoenix], year[1990], average temperature[-0.09]
city[Phoenix], year[1991], average temperature[0.11]
city[Phoenix], year[1992], average temperature[-0.04]
city[Phoenix], year[1993], average temperature[-0.08]
city[Phoenix], year[1994], average temperature[0.09]
city[Phoenix], year[1995], average temperature[-0.03]
city[Phoenix], year[1996], average temperature[-0.07]
city[Phoenix], year[1997], average temperature[0.04]
city[Phoenix], year[1998], average temperature[-0.05]
city[Phoenix], year[1999], average temperature[0.04]
city[Phoenix], year[2000], average temperature[-0.02]
city[Phoenix], year[2001], average temperature[0.11]
city[Phoenix], year[2002], average temperature[-0.10]
city[Phoenix], year[2003], average temperature[-0.05]
city[Phoenix], year[2004], average temperature[-0.01]
city[Phoenix], year[2005], average temperature[0.04]
city[Phoenix], year[2006], average temperature[-0.00]
city[Phoenix], year[2007], average temperature[-0.03]
city[Phoenix], year[2008], average temperature[-0.08]
city[Phoenix], year[2009], average temperature[-0.01]
city[Phoenix], year[2010], average temperature[0.05]
city[Phoenix], year[2011], average temperature[-0.01]
city[Phoenix], year[2012], average temperature[0.07]
city[Phoenix], year[2013], average temperature[-0.13]
city[Phoenix], year[2014], average temperature[-0.06]
city[Phoenix], year[2015], average temperature[0.17]
city[Phoenix], year[2016], average temperature[0.01]
city[Phoenix], year[2017], average temperature[0.01]
city[Phoenix], year[2018], average temperature[0.17]
city[Phoenix], year[2019], average temperature[-0.04]
city[Phoenix], year[2020], average temperature[0.23]
city[San Antonio], year[1970], average temperature[0.03]
city[San Antonio], year[1971], average temperature[-0.07]
city[San Antonio], year[1972], average temperature[0.03]
city[San Antonio], year[1973], average temperature[-0.03]
city[San Antonio], year[1974], average temperature[-0.01]
city[San Antonio], year[1975], average temperature[-0.04]
city[San Antonio], year[1976], average temperature[0.06]
city[San Antonio], year[1977], average temperature[0.17]
city[San Antonio], year[1978], average temperature[0.11]
city[San Antonio], year[1979], average temperature[0.09]
city[San Antonio], year[1980], average temperature[0.02]
city[San Antonio], year[1981], average temperature[-0.10]
city[San Antonio], year[1982], average temperature[0.12]
city[San Antonio], year[1983], average temperature[-0.00]
city[San Antonio], year[1984], average temperature[0.02]
city[San Antonio], year[1985], average temperature[-0.02]
city[San Antonio], year[1986], average temperature[0.01]
city[San Antonio], year[1987], average temperature[0.11]
city[San Antonio], year[1988], average temperature[0.12]
city[San Antonio], year[1989], average temperature[0.12]
city[San Antonio], year[1990], average temperature[0.02]
city[San Antonio], year[1991], average temperature[0.03]
city[San Antonio], year[1992], average temperature[0.02]
city[San Antonio], year[1993], average temperature[-0.02]
city[San Antonio], year[1994], average temperature[0.09]
city[San Antonio], year[1995], average temperature[-0.13]
city[San Antonio], year[1996], average temperature[0.02]
city[San Antonio], year[1997], average temperature[0.01]
city[San Antonio], year[1998], average temperature[0.01]
city[San Antonio], year[1999], average temperature[-0.00]
city[San Antonio], year[2000], average temperature[-0.01]
city[San Antonio], year[2001], average temperature[0.11]
city[San Antonio], year[2002], average temperature[-0.06]
city[San Antonio], year[2003], average temperature[0.03]
city[San Antonio], year[2004], average temperature[0.08]
city[San Antonio], year[2005], average temperature[-0.08]
city[San Antonio], year[2006], average temperature[-0.05]
city[San Antonio], year[2007], average temperature[-0.15]
city[San Antonio], year[2008], average temperature[-0.05]
city[San Antonio], year[2009], average temperature[0.13]
city[San Antonio], year[2010], average temperature[-0.02]
city[San Antonio], year[2011], average temperature[0.05]
city[San Antonio], year[2012], average temperature[0.02]
city[San Antonio], year[2013], average temperature[0.07]
city[San Antonio], year[2014], average temperature[0.09]
city[San Antonio], year[2015], average temperature[0.05]
city[San Antonio], year[2016], average temperature[-0.08]
city[San Antonio], year[2017], average temperature[-0.08]
city[San Antonio], year[2018], average temperature[0.01]
city[San Antonio], year[2019], average temperature[0.19]
city[San Antonio], year[2020], average temperature[-8.98]
city[San Diego], year[1970], average temperature[-0.01]
city[San Diego], year[1971], average temperature[-0.11]
city[San Diego], year[1972], average temperature[-0.03]
city[San Diego], year[1973], average temperature[0.09]
city[San Diego], year[1974], average temperature[0.08]
city[San Diego], year[1975], average temperature[-0.06]
city[San Diego], year[1976], average temperature[0.08]
city[San Diego], year[1977], average temperature[-0.05]
city[San Diego], year[1978], average temperature[0.00]
city[San Diego], year[1979], average temperature[-0.00]
city[San Diego], year[1980], average temperature[0.04]
city[San Diego], year[1981], average temperature[-0.10]
city[San Diego], year[1982], average temperature[-0.04]
city[San Diego], year[1983], average temperature[0.01]
city[San Diego], year[1984], average temperature[-0.04]
city[San Diego], year[1985], average temperature[-0.06]
city[San Diego], year[1986], average temperature[0.03]
city[San Diego], year[1987], average temperature[-0.10]
city[San Diego], year[1988], average temperature[-0.01]
city[San Diego], year[1989], average temperature[-0.01]
city[San Diego], year[1990], average temperature[-0.05]
city[San Diego], year[1991], average temperature[-0.05]
city[San Diego], year[1992], average temperature[-0.06]
city[San Diego], year[1993], average temperature[0.05]
city[San Diego], year[1994], average temperature[0.07]
city[San Diego], year[1995], average temperature[0.07]
city[San Diego], year[1996], average temperature[-0.00]
city[San Diego], year[1997], average temperature[-0.00]
city[San Diego], year[1998], average temperature[-0.02]
city[San Diego], year[1999], average temperature[0.02]
city[San Diego], year[2000], average temperature[-0.07]
city[San Diego], year[2001], average temperature[-0.04]
city[San Diego], year[2002], average temperature[0.07]
city[San Diego], year[2003], average temperature[0.03]
city[San Diego], year[2004], average temperature[0.02]
city[San Diego], year[2005], average temperature[-0.11]
city[San Diego], year[2006], average temperature[-0.04]
city[San Diego], year[2007], average temperature[-0.01]
city[San Diego], year[2008], average temperature[-0.14]
city[San Diego], year[2009], average temperature[-0.14]
city[San Diego], year[2010], average temperature[0.05]
city[San Diego], year[2011], average temperature[-0.03]
city[San Diego], year[2012], average temperature[-0.04]
city[San Diego], year[2013], average temperature[-0.03]
city[San Diego], year[2014], average temperature[-0.08]
city[San Diego], year[2015], average temperature[0.05]
city[San Diego], year[2016], average temperature[0.01]
city[San Diego], year[2017], average temperature[-0.08]
city[San Diego], year[2018], average temperature[-0.07]
city[San Diego], year[2019], average temperature[0.07]
city[San Diego], year[2020], average temperature[7.63]
city[San Jose], year[1970], average temperature[-0.01]
city[San Jose], year[1971], average temperature[0.00]
city[San Jose], year[1972], average temperature[-0.05]
city[San Jose], year[1973], average temperature[-0.04]
city[San Jose], year[1974], average temperature[-0.10]
city[San Jose], year[1975], average temperature[0.02]
city[San Jose], year[1976], average temperature[-0.02]
city[San Jose], year[1977], average temperature[-0.05]
city[San Jose], year[1978], average temperature[-0.09]
city[San Jose], year[1979], average temperature[-0.03]
city[San Jose], year[1980], average temperature[-0.10]
city[San Jose], year[1981], average temperature[-0.03]
city[San Jose], year[1982], average temperature[0.09]
city[San Jose], year[1983], average temperature[-0.08]
city[San Jose], year[1984], average temperature[0.04]
city[San Jose], year[1985], average temperature[-0.04]
city[San Jose], year[1986], average temperature[-0.02]
city[San Jose], year[1987], average temperature[0.05]
city[San Jose], year[1988], average temperature[-0.02]
city[San Jose], year[1989], average temperature[-0.02]
city[San Jose], year[1990], average temperature[-0.09]
city[San Jose], year[1991], average temperature[-0.03]
city[San Jose], year[1992], average temperature[-0.07]
city[San Jose], year[1993], average temperature[0.02]
city[San Jose], year[1994], average temperature[-0.06]
city[San Jose], year[1995], average temperature[0.04]
city[San Jose], year[1996], average temperature[0.12]
city[San Jose], year[1997], average temperature[-0.02]
city[San Jose], year[1998], average temperature[0.09]
city[San Jose], year[1999], average temperature[-0.08]
city[San Jose], year[2000], average temperature[0.06]
city[San Jose], year[2001], average temperature[-0.04]
city[San Jose], year[2002], average temperature[-0.07]
city[San Jose], year[2003], average temperature[0.04]
city[San Jose], year[2004], average temperature[0.06]
city[San Jose], year[2005], average temperature[-0.05]
city[San Jose], year[2006], average temperature[-0.08]
city[San Jose], year[2007], average temperature[0.07]
city[San Jose], year[2008], average temperature[0.04]
city[San Jose], year[2009], average temperature[0.09]
city[San Jose], year[2010], average temperature[0.02]
city[San Jose], year[2011], average temperature[0.06]
city[San Jose], year[2012], average temperature[-0.10]
city[San Jose], year[2013], average temperature[-0.07]
city[San Jose], year[2014], average temperature[0.06]
city[San Jose], year[2015], average temperature[-0.04]
city[San Jose], year[2016], average temperature[-0.04]
city[San Jose], year[2017], average temperature[-0.01]
city[San Jose], year[2018], average temperature[-0.07]
city[San Jose], year[2019], average temperature[0.04]
